,Tag,question
2063,php,make pretty urls work php host iis make pretty urls work php host iis make pretty urls work php host iis way use urls like httpwwwblogcomteam-spirit instead httpwwwblogcomp122 windows host php server
2064,java windows,discover file creation time java discover file creation time java discover file creation time java easy way discover file creation time java file class method get last modify time accord resources find google file class provide getcreationtime method file systems support idea creation time work solution find involes shell command line execute dir command look like output file creation time guess work need support windows seem error prone third party libraries provide info need update end think worth buy third party library api seem pretty good probably good choice anyone else problem
2065,visual-studio,instal team foundation server instal team foundation server instal team foundation server best practice set new instance tfs 2008 workgroup edition specifically constraints follow must install exist windows server 2008 64 bite tfs application layer 32 bite install sql server 2008 sharepoint app layer virtual instance windows server 2008 2003 already run hyper-v split layer database host os app layer virtual machine edit apparently split layer recommend
2066,svn,disadvantage access subversion repositories file solo developer disadvantage access subversion repositories file solo developer disadvantage access subversion repositories file solo developer subversion instal development machine work team reason use svn protocol instead file
2067,.net c#,best way manage session nhibernate best way manage session nhibernate best way manage session nhibernate new nhibernate 1st big project use simple method data access create isession object within use block grab object list object way session destroy exit code block work situation lazy-loading require however example customer object property collection order lazy-load attempt get hibernate exception anyone use different method
2068,visual-studio,way intraword text navigation visual studio way intraword text navigation visual studio way intraword text navigation visual studio windows ctrlright arrow move text cursor one word next work xcode mac extend optionright arrow move cursor begin next subword example cursor begin word mycamelcasevar hit optionright arrow put cursor first c amazingly useful feature find windows editor know way visual studio perhaps add-in currently use pretty old iterations visual studio visual basic 60 visual c++ although interest know modern release
2069,javascript,find exact latlng coordinate birdseye scene virtual earth find exact latlng coordinate birdseye scene virtual earth find exact latlng coordinate birdseye scene virtual earth try find latitude longitude corner map birdseye view want able plot pin map hundreds thousands address want able limit ones need show map normal view vemapgetmapview topleftlatlong bottomrightlatlong return coordinate need birdseye view return blank encrypt value sdk recommend use vebirdseyescenegetboundingrectangle return bound two miles center scene major cities still return way many address previous versions control undocumented vedecoder object could use decrypt latlong value birdseye scenes object seem disappear probably rename decode value version 61
2070,javascript,set breakpoints external js script firebug set breakpoints external js script firebug set breakpoints external js script firebug easily set breakpoints embed js function see way access external js script via firebug unless happen enter debug session way without explore way script jason good point case easy access script specifically talk client script invoke asp.net validators would like debug access debug session enter function call could find way access directly
2071,c#,easiest way convert url hyperlink c# string easiest way convert url hyperlink c# string easiest way convert url hyperlink c# string consume twitter api want convert urls hyperlinks effective way come string mystring tweet check httptinyurlcomblah tweet check href httptinyurlcomblah httptinyurlcomblaha
2072,c#,data conflict linq data conflict linq data conflict linq make change use submitchanges linq sometimes die changeconflictexception exception error message row find change without indication either row conflict field change conflict another user change data row way determine row conflict field occur also way get linq ignore issue simply commit data regardless additionally anybody know whether exception occur data row change data change field linq attempt alter
2073,c#,constraint restrict generic method numeric type constraint restrict generic method numeric type constraint restrict generic method numeric type anyone tell way generics limit generic type argument int16 int32 int64 uint16 uint32 uint64 aware keyword find interface type something like static bool integerfunctiont value inumeric
2074,sql-server sql,ms sql server 2005 way export complete maintenance plan database sql script ms sql server 2005 way export complete maintenance plan database sql script ms sql server 2005 way export complete maintenance plan database sql script currently want output sql script table database management studio right click output create script equivalent output sql script database maintenance plan edit company work 4 servers 3 servers sign integration one run 500000 transactions day original maintenance plan undocumented try create default template maintenance plan
2075,c# .net,func predicate thing compilation func predicate thing compilation func predicate thing compilation fire reflector look difference would one expect see exact compile code compare funct bool vs predicatet would imagine difference take generic parameter return bool
2076,asp.net,way get image display asp.net appofflinehtm way get image display asp.net appofflinehtm way get image display asp.net appofflinehtm use appofflinehtm feature asp.net allow html image way get image display without point different url another site
2077,c#,out-of-place build c# out-of-place build c# out-of-place build c# finish set out-of-place build system exist c++ code use inherit property sheet feature seem specific visual c++ product build out-of-place require many project settings change inherit property sheet allow change necessary settings attach property sheet project migrate team cmfc ui c# wpf need provide out-of-place build functionality hopefully convenience cannot seem find way c# project - first look see could reference msbuild target file could find way know could use msbuild whole thing seem complicate necessary way define macro directory use output path example
2078,c# .net windows,set time zone remotely c# set time zone remotely c# set time zone remotely c# set windows time zone local machine programmatically c# use interactive tool option remote units user interface users remote machine run .net 20 windows xp embed local app communicate central server via web service automate direction task deliver command synch certain timezone combination code put local app accomplish change equipment image specific locations installation order use equipment location able synch information
2079,.net c#,.net double-click event tabcontrol .net double-click event tabcontrol .net double-click event tabcontrol would like intercept event .net windows form tabcontrol user change tab double-clicking tab instead single-clicking idea
2080,c#,get today date c# mmddyyyy format get today date c# mmddyyyy format get today date c# mmddyyyy format get today date c# mmddyyyy format need set string variable today date preferably without year get better way build month -- day one piece time btw us mdd would correct eg september 11th 911 note answer kronoz come discuss internationalization think awesome enough mention since make accept answer well kronoz answer
2081,c# .net,take byte array tiff image turn systemdrawingimage object take byte array tiff image turn systemdrawingimage object take byte array tiff image turn systemdrawingimage object byte array content represent tiff file write bytes directly file use binarywriter object form perfectly valid tiff file try turn systemdrawingimage object use later manipulation feed multipage tiff object problem commonly accept code task public image bytearraytoimage byte bytearrayin memorystream ms new memorystream bytearrayin image returnimage imagefromstream ms true return returnimage work second line method call imagefromstream method die runtime say parameter valid believe method choke fact tiff file cannot figure make fromstream method accept fact turn byte array tiff image image object also like say end goal byte array represent multipage tiff file contain tiff file byte array object right much better way go
2082,visual-studio,generation designer file fail generation designer file fail generation designer file fail every days vs2008 decide get mad fail generate designer file claim cannot find file specify miss assembly scenario aspx page reference custom user control inherit usercontrol reference another assembly backend many reference miss assembly place code throw errors rebuild update source clean copy shout computer punch screen etc fail work suggestions quite annoy
2083,windows,best complete implementation unix system command windows best complete implementation unix system command windows best complete implementation unix system command windows find unfortunately bookmarked home work link wonder anyone opinions love hate whatever could make good decision think go use cygwin unix command windows sure well go work would love alternatives sure people interest run cygwin
2084,java,alternatives systemexit 1 alternatives systemexit 1 alternatives systemexit 1 various reason call systemexit frown upon write java applications notify call process everything go accord plan edit 1 standin non-zero exit code
2085,asp.net,asp.net validators inside updatepanel asp.net validators inside updatepanel asp.net validators inside updatepanel use older version asp.net ajax due runtime limitations place asp.net validator inside update panel work trick make work need use validatorcallout control come ajax toolkit
2086,asp.net c#,httpcacheabilityprivate suppress etags httpcacheabilityprivate suppress etags httpcacheabilityprivate suppress etags write custom ihttphandler come across behavior expect concern httpcachepolicy object handler calculate set entity-tag use setetag method httpcachepolicy associate current response object set cache-control public use setcacheability method everything work like charm server send along e-tag header set private e-tag header suppress maybe look hard enough see anything http11 spec would justify behavior want send e-tag browsers still prohibit proxies store data use system use systemweb public class handler ihttphandler public void processrequest httpcontext ctx ctxresponsecachesetcacheability httpcacheabilityprivate ctxresponsecachesetetag static ctxresponsecontenttype textplain ctxresponsewrite hello world public bool isreusable get return true return cache-control private content-type textplain charsetutf-8 content-length 11 change public return cache-control public content-type textplain charsetutf-8 content-length 11 etag static run asp.net development server iis6 far result also unable explicitly set etag use responseappendheader etag static update possible append etag header manually run iis7 suspect cause tight integration asp.net iis7 pipeline clarification long question core question asp.net get around update go accept tony answer since essentially correct go tony find want emulate httpcacheabilityprivate fully set cacheability serverandprivate also call cachesetomitvarystar true otherwise cache add vary header output want edit answer get edit permissions see tony perhaps could edit answer include call
2087,javascript,resize swf runtime browser create html scrollbars resize swf runtime browser create html scrollbars resize swf runtime browser create html scrollbars swf load text sprite resize base content put - like though ones longer page browser use native scroll bar rather handle actionscript much like httpwwwnikecomnikeskateboardingv3 look stuff nike able pull idea
2088,visual-studio,remove vsdebuggercausalitydata data soap message remove vsdebuggercausalitydata data soap message remove vsdebuggercausalitydata data soap message get problem incoming soap message one particular client mark invalid reject xml firewall device appear extra payload data insert visual studio think extra data may cause problem bc see vsdebuggercausalitydata message others send different client problem start point anyway question client remove extra data still run vs vs put thank
2089,python,generate dynamic parameterized unit test python generate dynamic parameterized unit test python generate dynamic parameterized unit test python kind test data want create unit test item first idea like import unittest l foo bar b lee b b class testsequence unittesttestcase def testsample self name b l print test name selfassertequal b name main unittestmain downside handle data one test would like generate one test item fly suggestions
2090,.net windows,good dvd burn component windows .net good dvd burn component windows .net good dvd burn component windows .net like add dvd burn functionality .net app run windows server 2003 good components available use nerocom sdk use come nero longer support sdk latest versions nero learn microsoft create imapi2 upgrade windows xp2003 example project codeproject use say easyreliable use really worry burn audiovideo dvd file backup purpose
2091,c#,shorthand conditional c# similar sql keyword shorthand conditional c# similar sql keyword shorthand conditional c# similar sql keyword c# shorthand way write public static bool isallowed int userid return userid personneljohndoe 124 124 userid personneljanedoe like public static bool isallowed int userid return userid personneljohndoe personneljanedoe know could also use switch probably 50 function like write port classic asp site asp.net like keep short possible
2092,sql-server,sql server 2008 report service control sql server 2008 report service control sql server 2008 report service control sql server 2008 control available download yet support 2008 rdl schema
2093,windows,leave harddrive share leave harddrive share leave harddrive share leave wireless network open question remind typically share root drive machine across network tie login authorization machine nt id least form protection question easy gain access drive ill good authorization enough lock things
2094,c++,measure cppunit test coverage win32 unix measure cppunit test coverage win32 unix measure cppunit test coverage win32 unix large code base contain extensive unit test use cppunit need work percentage code exercise test ideally generate sort report tell per-library per-file basis much code exercise kicker run completely unnatended eventually inside continuous integration build cross platform well win32 nix least anyone suggest tool set tool help change away cppunit would want - kick ass otherwise eager hear recommendations might cheer
2095,svn windows,svn repository backup strategies svn repository backup strategies svn repository backup strategies new svn like know methods available back repositories windows environment
2096,c#,look regex find quote newlines big string c# look regex find quote newlines big string c# look regex find quote newlines big string c# big string let call csv file though actually one easier parse c# code first step parse process split file individual line use streamreader object call readline file however give line might contain quote single quote literal embed newlines need find newlines convert temporarily kind token escape sequence split file array line change back example input data 121099 text without newline true false 90 211198 text embed newline continue true true 90 could write c# code need use stringindexof find quote section look within newlines think regex might better choice ie two problems
2097,html javascript,set height div dynamically set height div dynamically set height div dynamically web application page contain div auto-width depend width browser window need auto-height object div start 300px top screen height make stretch bottom browser screen max height container div would minimum-height div believe restrict css use javascript handle resize div javascript nearly good easy script could write would edit div house control overflow handle implement scroll bar
2098,asp.net,use asp.net login control loginaspx root application use asp.net login control loginaspx root application use asp.net login control loginaspx root application use asp.net login control form authentication membershipcredentials asp.net web application keep redirect loginaspx page root application exist login page within folder
2099,javascript,sit suppress paste text sit suppress paste text sit suppress paste text notice sit usually bank suppress ability paste text text field know javascript use swallow keyboard shortcut paste right-click menu item
2100,javascript,communicate websites use javascript communicate websites use javascript communicate websites use javascript problem - like communicate two websites look clean solution current solution use javascript nasty workarounds understandable cross-site script restrictions moment website open modal window contain website b use jquery plug-in call jqmodal website b work return result website return information work around cross-site script restrictions - website b create iframe refer page website include fragment identifiers contain information return iframe poll website detect return information common technique hacky variations crosssite could perhaps use http post website b website try avoid page refresh anyone alternatives edit like avoid save state website b
2101,c#,c# notion private protect inheritance c# notion private protect inheritance c# notion private protect inheritance c# notion private protect inheritance c++ class foo private bar public c# public abstract nservlet class private systemwebuipage error type expect implement servlet like concept aspx page want concrete class ability see internals systemwebuipage base
2102,c# asp.net,pass method name custom server control asp.net pass method name custom server control asp.net pass method name custom server control asp.net work customer server control extend another control problem attach control form vb.net parentfindcontrol targetcontrolname would like pass method control aspx markup example c mycustomercontrol runatserver initializestuffcallback initializestuff try use reflection access give method name parent something like vb dim pagetype type pagegettype dim callbackmethodinfo methodinfo pagetypegetmethod methodname also try senderparentgettypegetmethod methodname senderparentparentgettypegetmethod methodname method find apart page look fairly sure possible see control similar forget mention work-around give control events attach code-behind
2103,asp.net,keep loginaspx page returnurl parameter override asp.net login control destinationpageurl property keep loginaspx page returnurl parameter override asp.net login control destinationpageurl property keep loginaspx page returnurl parameter override asp.net login control destinationpageurl property use asp.net login control form authentication membershipcredentials asp.net web application get page passwordrecoveryaspx accessable anonymous users click login link page login page returnurl parameter address bar httpwwwexamplecomloginaspxreturnurlpasswordrecoveryaspx successful login users return passwordrecoveryaspx page specify returnurl parameter longer access
2104,sql-server,access sharepoint outside webui access sharepoint outside webui access sharepoint outside webui possible access database backend sharepoint server company use sharepoint store data picture various assets ideally would able access data display application allow users methods access go talk department would like find even possible edit rail linux yes know crazy
2105,sql-server,tell data type execute store procedure tell data type execute store procedure tell data type execute store procedure way execute store procedure management studio get data type result set come back look something like functionality pass table name sphelp
2106,c,condition c interview test condition c interview test condition c interview test would possible print hello twice use single condition condition printf hello else printf world
2107,sql,commit change commit change commit change use oracle 10g access via perl dbi table tens million row update time per second read much frequently form another process soon update frequency increase order magnitude maybe two someone suggest commit every n update instead every update help performance question faster slower depend plan benchmark way soon get decent simulation new load help hinder performance depend help best value n local dba helpful straight answer need one actually know answer one - edit codeslave thank btw lose uncommited change problem delete original data use update till sure everything fine btw clean lady unplug server twice - google show might help issue relate rollback segment still know rule thumb n every tens hundreds thousand diciu great info definitely look
2108,asp.net,elegant semantic css asp.net still pipe dream elegant semantic css asp.net still pipe dream elegant semantic css asp.net still pipe dream know microsoft make efforts direction semantic cross-browser compliant xhtml css still seem like pita pull elegant markup download tweak css friendly adapters still find frustrate bloat unattractive code elegant semantic css asp.net still pipe dream finally possible need practice
2109,visual-studio,integrate custom gui framework vs designer integrate custom gui framework vs designer integrate custom gui framework vs designer imagine homebrew custom gui framework use windows handle compact framework please argue whys one main disadvantage develop framework lose compatability winform designer question know lot vs customisation would clever mechanism one could incorperate gui framework designer get spit custom code instead standard windows stuff initialisecomponent method
2110,html,find unused image css style website find unused image css style website find unused image css style website method trial error use find unused image file css declarations id class even exist site seem like might way write script scan site profile see image style never load
2111,asp.net c#,cache active directory data cache active directory data cache active directory data one applications query active directory get list users give user use direct report thing basically give name person look ad direct report read every direct report tool need check direct report direct report abstract tool use person root tree walk complete tree get name leave several hundred concern obviously performance need quite time idea manually cache essentially put name long string store somewhere update day wonder elegant way first get information cache possibly use something systemdirectoryservices namespace
2112,xml java,load orgw3cdomdocument xml string load orgw3cdomdocument xml string load orgw3cdomdocument xml string complete xml document string would like document object google turn sort garbage simplest solution java 15 solution thank matt mcminn settle implementation right level input flexibility exception granularity good know error come malformed xml - saxexception - bad io - ioexception public static orgw3cdomdocument loadxmlfrom string xml throw orgxmlsaxsaxexception javaioioexception return loadxmlfrom new javaiobytearrayinputstream xmlgetbytes public static orgw3cdomdocument loadxmlfrom javaioinputstream throw orgxmlsaxsaxexception javaioioexception javaxxmlparsersdocumentbuilderfactory factory javaxxmlparsersdocumentbuilderfactorynewinstance factorysetnamespaceaware true javaxxmlparsersdocumentbuilder builder null try builder factorynewdocumentbuilder catch javaxxmlparsersparserconfigurationexception ex orgw3cdomdocument doc builderparse isclose return doc
2113,asp.net,best handle role base permissions use form authentication asp.net web application best handle role base permissions use form authentication asp.net web application best handle role base permissions use form authentication asp.net web application use asp.net login control form authentication membershipcredentials asp.net web application get two roles users administrators want page viewable four different group everyone default help anonymous createuser login passwordrecovery users changepassword dataentry administrators report expand example asp.net video series membership roles put page file folders use asp.net web site administration tool set access rule folder work seem kludgy create issue loginaspx root returnurl parameter loginaspx better way perhaps simple way set permissions page level rather folder level
2114,.net c#,false operator c# good false operator c# good false operator c# good two weird operators c# true operator false operator understand right operators use type want use instead boolean expression want provide implicit conversion bool let say follow class public class mytype public readonly int value public mytype int value value value public static bool operator true mytype mt return mtvalue 0 public static bool operator false mytype mt return mtvalue 0 write follow code mytype mtrue new mytype 100 mytype mfalse new mytype -100 mytype mdontknow new mytype 0 mtrue something mfalse something else another code come mdontknow however examples true operator execute false operator c# good note examples find
2115,asp.net javascript,call onresize asp.net content page call onresize asp.net content page call onresize asp.net content page javascript method need run one page particular onresize event however see set event content page wish could put master page need method call page use master page help would appreciate
2116,c++,c++ stl question allocators c++ stl question allocators c++ stl question allocators potentially dumb question c++ stl make container vector set map etc allocate stack heap make set put 5 million string worry stack overflow
2117,asp.net,best ajax framework best ajax framework best ajax framework asp.net web form best chioce provide righ ui la ajax use build ajax support ms ship addition ajax control toolkit something better andor easier
2118,.net,find debug switch available give switch find disable find debug switch available give switch find disable find debug switch available give switch find disable question answer flip switch pick debugger disable extraneous header cause problem microsoft help imply switch user generate list switch configuration systemdiagnostics switch add name remotedisable value 1 switch systemdiagnostics configuration would like know value remotedisable come find things switch currently config magic like magic
2119,visual-studio,visual studio host process operation could complete visual studio host process operation could complete visual studio host process operation could complete try execute within visual studio 2008 application get uninformative message operation could complete solution turn visual studio host process problem turn host process run rewrite functionality longer available ok big deal always get message matter machine use might nice use rewrite execute functionality something wrong come feature within vs seem complain readily people success enable host process make use
2120,asp.net,asp.net radiobutton visibility inside radiobuttonlist asp.net radiobutton visibility inside radiobuttonlist asp.net radiobutton visibility inside radiobuttonlist way hide radio button inside radiobuttonlist control programmatically
2121,javascript,script svg script svg script svg consider develop website similar stackoverflow answer may also consist draw schematics case want area answer form make schematic without require special plugins etc point svg critical mass soon 1-2 years design website script-run svg primary feature reasonable ie require firefox another svgajax compliant browser good resources learn cross platform svg script likely javascript -adam davis
2122,asp.net,filter nod treeview menu control sitemap data source base user permissions filter nod treeview menu control sitemap data source base user permissions filter nod treeview menu control sitemap data source base user permissions use asp.net login control form authentication membershipcredentials asp.net web application use site map site navigation asp.net treeview menu navigation control populate use sitemapdatasource off-limits administrator-only page visible non-administrator users kevin pang write sure question different question … question deal assign maintain permissions question deal presentation navigation specifically treeview menu control sitemap data source asp menu id menu1 runat server datasourceid sitemapdatasource1 asp sitemapdatasource id sitemapdatasource1 runat server showstartingnode false nicholas write add role somerole sitemap handle display issue page permissions enforce
2123,.net performance,.net 20 - efficient generic list .net 20 - efficient generic list .net 20 - efficient generic list create app hold load load user data memory mostly keep listt structure dictionaryt need lookup wonder efficient list much memory overhead get memory space addition object contain would take much penalty pay every time instance new one efficient way dictionaries hashtables right less efficient data structure like use array typical problem add remove things time grow shrink would pain ideassuggestions edit know basic data structure 101 link list better addingremoving hashtable better random access mostly concern .net idionsyncracies much memory structure waste example time waste initialize kill things like example take lot time instancegc list much clear maybe keep little pool list wait clear send back pool instead simply dereferencing hashtables faster access waste lot memory might prefer use list traverse small item count also really like focus memory usage since app hediously memory intensive think memcached like anyone know find info
2124,sql-server,check sql server text column empty check sql server text column empty check sql server text column empty use sql server 2005 table text column many row table value column null empty try compare yield response data type text varchar incompatible equal operator special function determine whether value text column null empty
2125,java,configure httponly cookies tomcat java webapps configure httponly cookies tomcat java webapps configure httponly cookies tomcat java webapps read jeff blog post protect cookies httponly like implement httponly cookies web application tell tomcat use http cookies sessions
2126,java database,use hibernate work text file use hibernate work text file use hibernate work text file use hibernate java application access database work pretty well ms-sql mysql data show form come text file text file mean human-readable file csv tab-delimited even key value pair per line since data simple preference course xml file question use hibernate read file use hql query entitymanager resources hibernate provide access file file format use configure persistencexml file recognize file table
2127,sql-server,call webservice tsql code call webservice tsql code call webservice tsql code way call tsql store procedure function webservice
2128,html,use flash object link use flash object link use flash object link possible use flash document embed html link try wrap object element like href httpwhatevercom object embed object internet explorer make show location status bar like link anything swf file add click handler actionscript
2129,asp.net,cache pattern asp.net cache pattern asp.net cache pattern asp.net fix bug framework develop pseudo-pseudocode look like myoldobject new myobject somevalue old value cacheinsert myobjectkey myoldobject mynewobject cacheget myobjectkey mynewobjectsomevalue new value myobjectsomevalue cacheget myobjectkey somevalue myobjectsavetodatabase essentially get object cache later compare original object cache object see need save database case change problem arise original object reference change somevalue also change reference cache object never save back database fix clone object cache version sever reference allow compare new object cache one question better way pattern could recommend person
2130,svn,subversion fail update conflict subversion fail update conflict subversion fail update conflict way tell subversion updatemerge unless would cause conflict know use -- dry-run status -u check run update often others run update get break webpages notice c indexphp line also notice svn seem unhappy conflict - still say update revision blah exit zero regardless conflict parse line-by-line output discover surely better way
2131,python,ssh hang command invoke directly exit cleanly run interactive ssh hang command invoke directly exit cleanly run interactive ssh hang command invoke directly exit cleanly run interactive need launch server remote machine retrieve port number server process lsitening invoke server listen random port output port number stderr want automate process log remote machine launch process retrieve port number write python script call invokejobpy live remote machine act wrapper invoke job return port number look like import subprocess executable name executable regex regex extract port number output p subprocesspopen executable bufsize1 line buffer stderrsubprocesspipe pstderrreadline port rematch regex group 0 print port log interactively script work ssh remotehostexamplecom last login thu aug 28 17 31 18 2008 localhost invokejobpy 63409 exit logout connection remotehostexamplecom close note successful logout hang however try invoke command-line hang ssh remotehostexamplecom invokejobpy anybody know hang second case avoid note need retrieve output program use ssh -f flag redirect standard output
2132,java,jsf lifecycle custom components jsf lifecycle custom components jsf lifecycle custom components couple things difficult time understand regard develop custom components jsf purpose question assume custom control use valuebindingsexpressions literal bind interest explanations well set value valuebinding suppose happen decode decode something else value set encodebegin read value bind - read data valuebinding vs read submittedvalue put valuebinding action listeners form call relation jsf lifecycle page mention events happen various step completely clear simple listener commandbutton call try combinations always end hard find bug believe come basic misunderstand event lifecycle
2133,asp.net,asp.net vs silverlight asp.net vs silverlight asp.net vs silverlight start new web project consider two presentation frameworks think either asp.net mvc silverlight would tend toward silverlight since quite experience .net developer basic knowledge asp.net control
2134,c# java,recover unchecked exception recover unchecked exception recover unchecked exception unchecked exceptions alright want handle every failure way example log skip next request display message user handle next event etc use case catch general exception type high level system handle everything way want recover specific problems sure best way approach unchecked exceptions concrete example suppose web application build use struts2 hibernate exception bubble action log display pretty apology user one function web application create new user account require unique user name user pick name already exist hibernate throw orghibernateexceptionconstraintviolationexception unchecked exception gut system really like recover particular problem ask user choose another user name rather give log problem hose message point consider lot people create account simultaneously want lock whole user table select see name exist insert case relational databases might trick work around really interest general case pre-checking exception win work fundamental race condition thing could apply look file file system etc give cto propensity drive-by management induce read technology columns inc need layer indirection around persistence mechanism throw hibernate use kodo whatever without change anything except lowest layer persistence code matter fact several layer abstraction system prevent leak spite unchecked exceptions one declaim weaknesses check exceptions handle every call stack — either declare call method throw catch handle handle often mean wrap another check exception type appropriate level abstraction example checked-exception land file-system – base implementation userregistry might catch ioexception database implementation would catch sqlexception would throw usernotfoundexception hide underlie implementation take advantage unchecked exceptions spar burden wrap layer without leak implementation detail
2135,asp.net,exactly configure httponlycookies asp.net exactly configure httponlycookies asp.net exactly configure httponlycookies asp.net inspire codinghorror article protect cookies httponly set property somewhere web config
2136,python,extend base class python extend base class python extend base class python try extend base class python class xlist list def len self return len self def add self args selfextend args return none class xint int def add self value self value return self x xlist 123 print xlen 3 ok print x 123 ok xadd 4 5 6 print x 123456 ok x xint 10 print x 10 ok xadd 2 print x 10 ok 1 print type x class mainxint ok x 5 print type x type int ok 2 work fine list case append method modify object place without return int case add method modify value external x variable suppose fine sense self local variable add method class prevent modify initial value assign instance class possible extend class way define class property base type map need methods property
2137,asp.net,concurrent logins web farm concurrent logins web farm concurrent logins web farm really ask proxy another team work change request customer problem customer want employees login one user one time get lock share logins since web farm would best way tackle issue cache database cause performance issue
2138,windows,maximum amount ram use windows box maximum amount ram use windows box maximum amount ram use windows box obviously 64-bit windows also maximum amount memory single 64-bit process use kind count use yes know please tell need much ram must something wrong also .net 20 process lower limit .net
2139,database,test manage database versions code versions test manage database versions code versions test manage database versions code versions develop application database change inevitably pop trick find keep database build step code past add build step execute sql script target database dangerous much could inadvertanly add bogus data worse question tip trick keep database step code roll back code branch
2140,sql-server,sql 2000 try catch like error handle sql 2000 try catch like error handle sql 2000 try catch like error handle sql 2000 database work call stag table raw data dump data everything ntext nvarchar 255 need castconvert data appropriate data type ie int decimal nvarchar etc way go iterate record use loop attempt cast column single record iteration visit particular record flag process bite field log error whenif occur allow loop continue first implement use try catch local sql 2005 instance get project go work well learn today dev amp production database international dba set sql 2000 instance conform edit use ssis package populate stag table see must revisit package implement script component handle conversions thank guy edit record record basis batch insert transaction idea seem like would feasible sure trap error allow store procedure continue edit really like guy approach go implement way
2141,php c,cocoa tip php developers cocoa tip php developers cocoa tip php developers php developer use mvc pattern object-oriented code really want write applications iphone need know cocoa need know objective-c 20 need know c need know compile languages versus interpret begin really need begin plain old c joel would recommend caveat like produce work widgets elegant theories
2142,.net visual-studio,make .net windows form project look fresh make .net windows form project look fresh make .net windows form project look fresh work visual studio 2005 vb.net windows form project around several years full default textboxes label dropdowns datagrids datetime pickers -- standard stuff end result gray old-looking project would best approach make project look fresh snazzy rather rewrite entire solution brand new form object would avoidable
2143,java,javaswing mouselistener listen help figure javaswing mouselistener listen help figure javaswing mouselistener listen help figure get jpanel implement mouselistener mousemotionlistener import javaxswing import javaawt import javaawtevent public class displayarea extend jpanel implement mouselistener mousemotionlistener public displayarea rectangle bound display display setlayout null setbounds bound setopaque false setpreferredsize new dimension boundswidth boundsheight thisdisplay display public void paintcomponent graphics g graphics2d g2 graphics2d g displaygetcontrolpanel antialiasing g2addrenderinghints new renderinghints renderinghintskeyantialiasing renderinghintsvalueantialiason g2setcolor colorwhite g2fillrect 0 0 getwidth getheight public void mousepressed mouseevent event systemoutprintln mousepressed mx1 eventgetx my1 eventgety public void mousereleased mouseevent event systemoutprintln mousereleased mx2 eventgetx my2 eventgety int mode displaygetcontrolpanel mode switch mode case controlpanelline systemoutprintln line mx1 my1 mx2 my2 public void mouseentered mouseevent event systemoutprintln mouseentered public void mouseexited mouseevent event systemoutprintln mouseexited public void mouseclicked mouseevent event systemoutprintln mouseclicked public void mousemoved mouseevent event systemoutprintln mousemoved public void mousedragged mouseevent event systemoutprintln mousedragged private display display null private int mx1 -1 private int my1 -1 private int mx2 -1 private int my2 -1 trouble none mouse function ever call displayarea create like da new displayarea new rectangle controlwidth 0 displaywidth displayheight really java programmer part assignment see anything glaringly obvious someone smarter see anything
2144,php mysql,wordpress mediawiki integration wordpress mediawiki integration wordpress mediawiki integration end spectrum would happy could install wiki share login credentials wordpress wiki hack mediawiki ago share logins another site asp classic via session cookies pain even worse maintain ideally would like find plug-in someone know elegant solution
2145,xml,xml attribute vs xml element xml attribute vs xml element xml attribute vs xml element work ask create xml file pass data another offline application create second xml file pass back order update data process discuss team application structure xml file sample come essentially something like inventory item serialnumber something location something barcode something type modelnumber something vendor something item inventory team say industry standard attribute use meta data suggest inventory item serialnumbersomethingserialnumber locationsomethinglocation barcodesomethingbarcode type modelnumbersomethingmodelnumber vendorsomethingvendor type item inventory reason suggest first size file create much smaller roughly 80000 items file transfer suggestion reality turn three time larger one suggest search mysterious industry standard mention closest could find xml attribute use meta data say debate actually meta data long wind explanation sorry determine meta data design structure xml document decide use attribute element
2146,java,add mime type .htaccess add mime type .htaccess add mime type .htaccess would like add follow mime type site run apache mime-mapping extensionjnlpextension mime-typeapplicationx-java-jnlp-filemime-type mime-mapping tomcat format share host create .htaccess file would someone please specify complete content file
2147,c# sql-server,retrieve list parameters store procedure sql server retrieve list parameters store procedure sql server retrieve list parameters store procedure sql server use c# systemdatasqlclient way retrieve list parameters belong store procedure sql server actually execute multi-environment scenario multiple versions database schema examples environments might development stag amp production development go one version store procedure stag go another want validate parameter go pass value call store procedure avoid sqlexception rather catch plus joshua
2148,svn,delete 1 file revision svn delete 1 file revision svn delete 1 file revision svn one co-workers check file svn one file password password remove file new version check password obviously still repository look revision history go revision use tortoisesvn client securely delete single file repository svn
